id,market,algorithm,sym,closed,wins,wr,pnl,bucket
crypto_btc_lightgbm__ps_v9,CRYPTO,lightgbm__ps,BTC,44,13,29.5,2.05,B_FRAGILE_lowwr_profit
sp500_cvx_xgboost__ps_v7,SP500,xgboost__ps,CVX,5,1,20.0,2.22,B_FRAGILE_lowwr_profit
sp500_cvx_xgboost__ps_v6,SP500,xgboost__ps,CVX,5,1,20.0,2.22,B_FRAGILE_lowwr_profit
sp500_cvx_xgboost__ps,SP500,xgboost__ps,CVX,5,1,20.0,2.22,B_FRAGILE_lowwr_profit
nasdaq_qcom_sarima__ps_v7,NASDAQ,sarima__ps,QCOM,10,1,10.0,2.24,B_FRAGILE_lowwr_profit
sp500_gru_nn_v12,SP500,gru_nn,"",17,3,17.6,2.38,B_FRAGILE_lowwr_profit
sp500_gru_nn_v11,SP500,gru_nn,"",17,3,17.6,2.38,B_FRAGILE_lowwr_profit
gold_ensemble_v9,GOLD,ensemble,"",26,4,15.4,2.64,B_FRAGILE_lowwr_profit
nasdaq_avgo_random_forest__ps_v9,NASDAQ,random_forest__ps,AVGO,9,2,22.2,3.16,B_FRAGILE_lowwr_profit
nasdaq_nvda_gru_nn__ps_v9,NASDAQ,gru_nn__ps,NVDA,5,1,20.0,3.25,B_FRAGILE_lowwr_profit
nasdaq_egarch_v2,NASDAQ,egarch,"",11,3,27.3,3.33,B_FRAGILE_lowwr_profit
crypto_gru_nn_v8,CRYPTO,gru_nn,"",154,34,22.1,3.46,B_FRAGILE_lowwr_profit
sp500_gru_nn_v7,SP500,gru_nn,"",24,6,25.0,3.62,B_FRAGILE_lowwr_profit
sp500_egarch_v9,SP500,egarch,"",32,7,21.9,3.66,B_FRAGILE_lowwr_profit
crypto_sol_lstm_nn__ps_v4,CRYPTO,lstm_nn__ps,SOL,6,1,16.7,4.00,B_FRAGILE_lowwr_profit
nasdaq_qcom_arima_garch__ps_v5,NASDAQ,arima_garch__ps,QCOM,7,1,14.3,4.13,B_FRAGILE_lowwr_profit
crypto_random_forest,CRYPTO,random_forest,"",20,4,20.0,4.15,B_FRAGILE_lowwr_profit
crypto_random_forest_v7,CRYPTO,random_forest,"",20,4,20.0,4.15,B_FRAGILE_lowwr_profit
gold_gru_nn_v11,GOLD,gru_nn,"",36,7,19.4,4.29,B_FRAGILE_lowwr_profit
gold_gru_nn_v12,GOLD,gru_nn,"",36,7,19.4,4.29,B_FRAGILE_lowwr_profit
crypto_random_forest_v6,CRYPTO,random_forest,"",21,5,23.8,4.36,B_FRAGILE_lowwr_profit
nasdaq_nvda_gru_nn__ps_v3,NASDAQ,gru_nn__ps,NVDA,5,1,20.0,4.67,B_FRAGILE_lowwr_profit
crypto_random_forest_v12,CRYPTO,random_forest,"",15,3,20.0,4.70,B_FRAGILE_lowwr_profit
crypto_random_forest_v11,CRYPTO,random_forest,"",15,3,20.0,4.70,B_FRAGILE_lowwr_profit
nasdaq_amd_random_forest__ps_v3,NASDAQ,random_forest__ps,AMD,11,3,27.3,4.71,B_FRAGILE_lowwr_profit
nasdaq_amd_random_forest__ps_v6,NASDAQ,random_forest__ps,AMD,11,3,27.3,4.71,B_FRAGILE_lowwr_profit
sp500_lstm_nn_v12,SP500,lstm_nn,"",18,4,22.2,5.29,B_FRAGILE_lowwr_profit
sp500_lstm_nn_v11,SP500,lstm_nn,"",18,4,22.2,5.29,B_FRAGILE_lowwr_profit
sp500_lightgbm,SP500,lightgbm,"",14,4,28.6,5.85,B_FRAGILE_lowwr_profit
sp500_lightgbm_v7,SP500,lightgbm,"",14,4,28.6,5.85,B_FRAGILE_lowwr_profit
sp500_lightgbm_v6,SP500,lightgbm,"",14,4,28.6,5.85,B_FRAGILE_lowwr_profit
gold_gru_nn_v5,GOLD,gru_nn,"",17,3,17.6,6.75,B_FRAGILE_lowwr_profit
nasdaq_avgo_sarima__ps,NASDAQ,sarima__ps,AVGO,7,1,14.3,6.94,B_FRAGILE_lowwr_profit
nasdaq_avgo_sarima__ps_v4,NASDAQ,sarima__ps,AVGO,7,1,14.3,6.94,B_FRAGILE_lowwr_profit
nasdaq_avgo_sarima__ps_v7,NASDAQ,sarima__ps,AVGO,7,1,14.3,6.94,B_FRAGILE_lowwr_profit
nasdaq_amd_sarima__ps_v3,NASDAQ,sarima__ps,AMD,9,2,22.2,7.26,B_FRAGILE_lowwr_profit
gold_gru_nn_v7,GOLD,gru_nn,"",50,11,22.0,7.35,B_FRAGILE_lowwr_profit
